country,currentRank,previousRank,peakRank,peakDate,appearancesOnChart,consecutiveAppearancesOnChart,rankingMetricValue,rankingMetricType,entryStatus,entryRank,entryDate,trackName,trackUri,displayImageUri,artistName,artistSpotifyUri,Streams,releaseDate
GLOBAL,1,1,1,2022-07-21,9,9,39176703,STREAMS,NO_CHANGE,3,2022-07-14,"Quevedo: Bzrp Music Sessions, Vol. 52",spotify:track:2tTmW7RDtMQtBk7m2rYeSw,https://i.scdn.co/image/ab67616d00001e021630dd349221a35ce03a0ccf,"Bizarrap, Quevedo","spotify:artist:716NhGYqD1jl2wI1Qkgq36, spotify:artist:52iwsT98xCoGgiGntTiR7K",39176703,2022-07-06
GLOBAL,2,2,1,2022-04-07,23,23,38742484,STREAMS,NO_CHANGE,1,2022-04-07,As It Was,spotify:track:4Dvkj6JhhA12EX05fT7y2e,https://i.scdn.co/image/ab67616d00001e022e8ed79e177ff6011076f5f0,Harry Styles,spotify:artist:6KImCVD70vtIoJWnq6nGn3,38742484,2022-05-20
GLOBAL,3,3,2,2022-06-02,18,18,32881044,STREAMS,NO_CHANGE,3,2022-05-12,Me Porto Bonito,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,https://i.scdn.co/image/ab67616d00001e0249d694203245f241a1bcaa72,"Bad Bunny, Chencho Corleone","spotify:artist:4q3ewBCX7sLwd24euuV69X, spotify:artist:37230BxxYs9ksS7OkZw3IU",32881044,2022-05-06
GLOBAL,4,5,4,2022-08-11,18,18,30758728,STREAMS,MOVED_UP,5,2022-05-12,Tití Me Preguntó,spotify:track:1IHWl5LamUGEuP4ozKQSXZ,https://i.scdn.co/image/ab67616d00001e0249d694203245f241a1bcaa72,Bad Bunny,spotify:artist:4q3ewBCX7sLwd24euuV69X,30758728,2022-05-06
GLOBAL,5,7,5,2022-09-08,10,10,28735619,STREAMS,MOVED_UP,157,2022-07-07,La Bachata,spotify:track:5ww2BF9slyYgNOk37BlC4u,https://i.scdn.co/image/ab67616d00001e02c9f744b0d62da795bc21d04a,Manuel Turizo,spotify:artist:0tmwSHipWxN12fsoLcFU3B,28735619,2022-05-26
GLOBAL,6,6,5,2022-08-18,6,6,28416026,STREAMS,NO_CHANGE,6,2022-08-04,DESPECHÁ,spotify:track:5ildQOEKmJuWGl2vRkFdYc,https://i.scdn.co/image/ab67616d00001e028f072024e0358fc5c62eba41,ROSALÍA,spotify:artist:7ltDVBr6mKbRvohxheJ9h1,28416026,2022-07-28
GLOBAL,7,4,2,2022-08-25,3,3,28388001,STREAMS,MOVED_DOWN,2,2022-08-25,Pink Venom,spotify:track:0skYUMpS0AcbpjcGsAbRGj,https://i.scdn.co/image/ab67616d00001e02580ac3ad7dfc81e509171120,BLACKPINK,spotify:artist:41MozSoPIsD1dJM0CLPjZF,28388001,2022-09-16
GLOBAL,8,26,8,2022-09-08,2,2,25786465,STREAMS,MOVED_UP,26,2022-09-01,I'm Good (Blue),spotify:track:4uUG5RXrOk84mYEfFvj3cK,https://i.scdn.co/image/ab67616d00001e02933c036cd61cd40d3f17a9c4,"David Guetta, Bebe Rexha","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:64M6ah0SkkRsnPGtGiRAbb",25786465,2022-08-26
GLOBAL,9,10,9,2022-09-08,14,14,25173525,STREAMS,MOVED_UP,139,2022-06-09,I Ain't Worried,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,https://i.scdn.co/image/ab67616d00001e02ec96e006b8bdfc582610ec13,OneRepublic,spotify:artist:5Pwc4xIPtQLFEnJriah9YJ,25173525,2022-05-13
GLOBAL,10,8,6,2022-08-18,18,18,25093155,STREAMS,MOVED_DOWN,18,2022-05-12,Efecto,spotify:track:5Eax0qFko2dh7Rl2lYs3bx,https://i.scdn.co/image/ab67616d00001e0249d694203245f241a1bcaa72,Bad Bunny,spotify:artist:4q3ewBCX7sLwd24euuV69X,25093155,2022-05-06
