country,currentRank,previousRank,peakRank,peakDate,appearancesOnChart,consecutiveAppearancesOnChart,rankingMetricValue,rankingMetricType,entryStatus,entryRank,entryDate,trackName,trackUri,displayImageUri,artistName,artistSpotifyUri,Streams,releaseDate
GLOBAL,1,1,1,2020-09-24,8,8,39960744,STREAMS,NO_CHANGE,159,2020-08-13,Mood (feat. iann dior),spotify:track:3tjFYV6RSFtuktYl3ZtYcq,https://i.scdn.co/image/ab67616d00001e0284c53fa832dfa265192419c5,"24kGoldn, iann dior","spotify:artist:6fWVd57NKTalqvmjRd2t8Z, spotify:artist:6ASri4ePR7RlsvIQgWPJpS",39960744,2021-03-26
GLOBAL,2,2,1,2020-08-20,8,8,34915133,STREAMS,NO_CHANGE,2,2020-08-13,WAP (feat. Megan Thee Stallion),spotify:track:4Oun2ylbjFKMPTiaSbbCih,https://i.scdn.co/image/ab67616d00001e02c450c89d3eb750d3535b0a0c,"Cardi B, Megan Thee Stallion","spotify:artist:4kYSro6naA4h99UJvo89HB, spotify:artist:181bsRPaVXVlUKXrxwZfHK",34915133,2020-08-07
GLOBAL,3,5,3,2020-10-01,7,7,29828907,STREAMS,MOVED_UP,67,2020-08-20,Lemonade (feat. NAV),spotify:track:7hxHWCCAIIxFLCzvDgnQHX,https://i.scdn.co/image/ab67616d00001e02c4adc981dc6656e52c916088,"Internet Money, Gunna, Don Toliver, NAV","spotify:artist:6MPCFvOQv5cIGfw3jODMF0, spotify:artist:2hlmm7s2ICUX0LVIhVFlZQ, spotify:artist:4Gso3d4CscCijv0lmajZWs, spotify:artist:7rkW85dBwwrJtlHRDkJDAC",29828907,2020-08-28
GLOBAL,4,3,2,2020-09-03,9,9,29733434,STREAMS,MOVED_DOWN,58,2020-08-06,Hawái,spotify:track:1yoMvmasuxZfqHEipJhRbp,https://i.scdn.co/image/ab67616d00001e0287d15f78ec75621d40028baf,Maluma,spotify:artist:1r4hJ1h58CWwUQe3MxPuau,29733434,2020-08-21
GLOBAL,5,6,2,2020-08-27,6,6,27835215,STREAMS,MOVED_UP,2,2020-08-27,Dynamite,spotify:track:0t1kP63rueHleOhQkYSXFY,https://i.scdn.co/image/ab67616d00001e02c07d5d2fdc02ae252fcd07e5,BTS,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,27835215,2020-11-20
GLOBAL,6,4,4,2020-09-24,2,2,24282760,STREAMS,MOVED_DOWN,4,2020-09-24,Holy (feat. Chance The Rapper),spotify:track:5u1n1kITHCxxp8twBcZxWy,https://i.scdn.co/image/ab67616d00001e02572c68f79b356c21202e248c,"Justin Bieber, Chance the Rapper","spotify:artist:1uNFoZAHBGtllmzznpCI3s, spotify:artist:1anyVhU62p31KFi8MEzkbf",24282760,2020-09-18
GLOBAL,7,8,1,2020-02-27,44,44,23475244,STREAMS,MOVED_UP,7,2019-12-05,Blinding Lights,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,https://i.scdn.co/image/ab67616d00001e028863bc11d2aa12b54f5aeb36,The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,23475244,2020-03-20
GLOBAL,8,7,4,2020-07-23,46,46,23372224,STREAMS,MOVED_DOWN,21,2019-11-21,Watermelon Sugar,spotify:track:6UelLqGlWMcVH1E5c4H7lY,https://i.scdn.co/image/ab67616d00001e0277fdcfda6535601aff081b6a,Harry Styles,spotify:artist:6KImCVD70vtIoJWnq6nGn3,23372224,2019-12-13
GLOBAL,9,12,9,2020-10-01,13,13,22348585,STREAMS,MOVED_UP,18,2020-07-09,For The Night (feat. Lil Baby & DaBaby),spotify:track:0PvFJmanyNQMseIFrU708S,https://i.scdn.co/image/ab67616d00001e0277ada0863603903f57b34369,"Pop Smoke, Lil Baby, DaBaby","spotify:artist:0eDvMgVFoNV3TpwtrVCoTj, spotify:artist:5f7VJjfbwm532GiveGC0ZK, spotify:artist:4r63FhuTkUYltbVAg5TQnk",22348585,2020-07-03
GLOBAL,10,9,1,2020-08-06,16,16,20984707,STREAMS,MOVED_DOWN,50,2020-06-18,Savage Love (Laxed - Siren Beat),spotify:track:1xQ6trAsedVPCdbtDAmk0c,https://i.scdn.co/image/ab67616d00001e020f619e50cfa37c94e3f8300e,"Jawsh 685, Jason Derulo","spotify:artist:56mfhUDKa1vec6rSLZV5Eg, spotify:artist:07YZf4WDAMNwqr4jfgOZ8y",20984707,2020-06-11
