country,currentRank,previousRank,peakRank,peakDate,appearancesOnChart,consecutiveAppearancesOnChart,rankingMetricValue,rankingMetricType,entryStatus,entryRank,entryDate,trackName,trackUri,displayImageUri,artistName,artistSpotifyUri,Streams,releaseDate
GLOBAL,1,1,1,2021-07-08,8,8,48633449,STREAMS,NO_CHANGE,68,2021-06-10,Beggin',spotify:track:3Wrjm47oTz2sjIgck11l5e,https://i.scdn.co/image/ab67616d00001e02fa0ab3a28b5c52d8a5f97045,Måneskin,spotify:artist:0lAWpj5szCSwM4rUMHYmrr,48633449,2017-12-08
GLOBAL,2,2,2,2021-07-22,3,3,47248719,STREAMS,NO_CHANGE,3,2021-07-15,STAY (with Justin Bieber),spotify:track:5PjdY0CKGZdEuoNab3yDmX,https://i.scdn.co/image/ab67616d00001e02b4d59e6fa7e5e7cbc57ac33a,"The Kid LAROI, Justin Bieber","spotify:artist:2tIP7SsRs7vjIcLrU85W8J, spotify:artist:1uNFoZAHBGtllmzznpCI3s",47248719,2021-07-27
GLOBAL,3,3,1,2021-05-20,11,11,40162559,STREAMS,NO_CHANGE,1,2021-05-20,good 4 u,spotify:track:4ZtFanR9U6ndgddUvNcjcG,https://i.scdn.co/image/ab67616d00001e02a91c10fe9472d9bd89802e5a,Olivia Rodrigo,spotify:artist:1McMsnEElThX1knmY4oliG,40162559,2021-05-21
GLOBAL,4,4,3,2021-07-08,5,5,37799456,STREAMS,NO_CHANGE,7,2021-07-01,Bad Habits,spotify:track:6PQ88X9TkUIAUIZJHW2upE,https://i.scdn.co/image/ab67616d00001e02ef24c3fdbf856340d55cfeb2,Ed Sheeran,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,37799456,2021-10-29
GLOBAL,5,-1,5,2021-07-29,1,1,33948454,STREAMS,NEW_ENTRY,5,2021-07-29,INDUSTRY BABY (feat. Jack Harlow),spotify:track:27NovPIUIRrOZoCHxABJwK,https://i.scdn.co/image/ab67616d00001e02ba26678947112dff3c3158bf,"Lil Nas X, Jack Harlow","spotify:artist:7jVv8c5Fj3E9VhNjxT4snq, spotify:artist:2LIk90788K0zvyj2JJVwkJ",33948454,2021-07-23
GLOBAL,6,6,1,2021-04-15,18,18,30071134,STREAMS,NO_CHANGE,2,2021-04-01,MONTERO (Call Me By Your Name),spotify:track:67BtfxlNbhBmCDR2L2l8qd,https://i.scdn.co/image/ab67616d00001e02664034dd80e91b28f773598d,Lil Nas X,spotify:artist:7jVv8c5Fj3E9VhNjxT4snq,30071134,2021-03-31
GLOBAL,7,5,3,2021-04-29,16,16,29356736,STREAMS,MOVED_DOWN,6,2021-04-15,Kiss Me More (feat. SZA),spotify:track:3DarAbFujv6eYNliUTyqtz,https://i.scdn.co/image/ab67616d00001e02be841ba4bc24340152e3a79a,"Doja Cat, SZA","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5, spotify:artist:7tYKF4w9nC0nq9CsPZTHyP",29356736,2021-06-25
GLOBAL,8,7,2,2021-06-03,10,10,26951613,STREAMS,MOVED_DOWN,28,2021-05-27,Todo De Ti,spotify:track:5RwV8BvLfX5injfqYodke9,https://i.scdn.co/image/ab67616d00001e02d9525f27b0a9e25b1fa21230,Rauw Alejandro,spotify:artist:1mcTU81TzQhprhouKaTkpq,26951613,2021-12-10
GLOBAL,9,8,3,2021-06-10,8,8,25030128,STREAMS,MOVED_DOWN,3,2021-06-10,Yonaguni,spotify:track:2JPLbjOn0wPCngEot2STUS,https://i.scdn.co/image/ab67616d00001e0264afd6879102d03460bd3ad9,Bad Bunny,spotify:artist:4q3ewBCX7sLwd24euuV69X,25030128,2021-06-04
GLOBAL,10,9,8,2021-07-08,10,10,24551591,STREAMS,MOVED_DOWN,74,2021-05-27,I WANNA BE YOUR SLAVE,spotify:track:4pt5fDVTg5GhEvEtlz9dKk,https://i.scdn.co/image/ab67616d00001e025aa05015cfa7bd2943c29b21,Måneskin,spotify:artist:0lAWpj5szCSwM4rUMHYmrr,24551591,2021-03-19
GLOBAL,11,11,4,2021-05-13,43,43,23518010,STREAMS,NO_CHANGE,141,2020-10-08,Levitating (feat. DaBaby),spotify:track:5nujrmhLynf4yMoMtj8AQF,https://i.scdn.co/image/ab67616d00001e022172b607853fa89cefa2beb4,"Dua Lipa, DaBaby","spotify:artist:6M2wZ9GZgrQXHCFfjv46we, spotify:artist:4r63FhuTkUYltbVAg5TQnk",23518010,2020-03-27
GLOBAL,12,12,9,2021-07-08,9,9,22405111,STREAMS,NO_CHANGE,77,2021-06-03,Qué Más Pues?,spotify:track:6hf0RpxTbOprT5nnwzkk8e,https://i.scdn.co/image/ab67616d00001e0274063b2c20fb50f80388eac2,"J Balvin, Maria Becerra","spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5, spotify:artist:1DxLCyH42yaHKGK3cl5bvG",22405111,2021-05-28
